id	filename	md5	size	state
017d71aa-0999-4d8e-9cb4-88b9013e61eb	017d71aa-0999-4d8e-9cb4-88b9013e61eb/c6683fc6-49f4-4e53-94ac-251799c2c638.rna_seq.augmented_star_gene_counts.tsv	98cdcdd92feca94d1e15defbc2f84081	4242722	validated
03891509-3109-450d-8564-77b024a6128e	03891509-3109-450d-8564-77b024a6128e/75668632-f0c7-495b-ba34-cd4b00aa9450.rna_seq.augmented_star_gene_counts.tsv	ed90acdacf8a0d3bf52f6053adb8d375	4249531	validated
0682b5b9-8529-4152-b6f9-1a13180eedee	0682b5b9-8529-4152-b6f9-1a13180eedee/d5066dc8-74bb-415a-84aa-9f74b61faa20.rna_seq.augmented_star_gene_counts.tsv	ccd83c23e5bf9b02d92a83681d3d1204	4248081	validated
0a06329d-82cd-41a9-822e-43cfd49e63a2	0a06329d-82cd-41a9-822e-43cfd49e63a2/a7b067c9-a62a-4d3d-8c4e-668830f7441f.rna_seq.augmented_star_gene_counts.tsv	562a76c624b508d201b752e304503572	4239076	validated
0c3ddae2-366f-4b21-ab46-a2cfe1963e42	0c3ddae2-366f-4b21-ab46-a2cfe1963e42/0ef46de9-c9e7-42f0-92bf-c17dc2ede102.rna_seq.augmented_star_gene_counts.tsv	6ab5fc1c03b21622960b75432251a61b	4253191	validated
12959673-a8ec-4223-a5fe-0648276db5fc	12959673-a8ec-4223-a5fe-0648276db5fc/ba2e1bd2-56f5-4dfb-94b5-92c50c58b31e.rna_seq.augmented_star_gene_counts.tsv	2fbef173968c3b083ec625ee76cc673d	4252801	validated
1737104f-367e-4098-a068-12f8ece492bf	1737104f-367e-4098-a068-12f8ece492bf/b4a9422c-ed5b-435f-aa13-e8a8f2484e97.rna_seq.augmented_star_gene_counts.tsv	dc19d10278544bb1e029e55333c2a010	4240560	validated
20110ed9-8b45-4a62-bd13-e0281915a06b	20110ed9-8b45-4a62-bd13-e0281915a06b/c6151c87-ab96-49c3-a250-b56211cd20e5.rna_seq.augmented_star_gene_counts.tsv	5905c93cbad925eca01702c0fd39b322	4233155	validated
27aab1a6-96af-4dc1-b9ce-4690ead0d355	27aab1a6-96af-4dc1-b9ce-4690ead0d355/39eaa466-f50c-402e-b127-b6b016d0480d.rna_seq.augmented_star_gene_counts.tsv	b7d32e042546f8febe2f7a276e9ee74d	4241441	validated
309dcac2-7efa-467c-9dc7-222c130b0fec	309dcac2-7efa-467c-9dc7-222c130b0fec/d29744c4-3aa3-44b2-83fb-0e74ba697cd9.rna_seq.augmented_star_gene_counts.tsv	245f500a8a8632e0ba846db331b4d839	4268333	validated
37939d7d-074b-42b7-8d68-95a8afef4c38	37939d7d-074b-42b7-8d68-95a8afef4c38/41bdc474-8e6e-4f39-98ec-6d73ee41837c.rna_seq.augmented_star_gene_counts.tsv	29cda5073bc2a0c72501fd745f2bb1fc	4240259	validated
398fa6bf-78af-473b-8f2c-a2b3b605131f	398fa6bf-78af-473b-8f2c-a2b3b605131f/a852a227-c31f-410f-baee-81135917a7d2.rna_seq.augmented_star_gene_counts.tsv	300bd799d99d4968aa1eb35bbd6385ea	4245036	validated
39b28d5e-fc51-4dfc-bcbe-0285c3bad830	39b28d5e-fc51-4dfc-bcbe-0285c3bad830/3129e1d1-9844-4df4-b30e-29b1c438983b.rna_seq.augmented_star_gene_counts.tsv	529061544684a0f71879e967a03a6463	4241955	validated
3a0c96d3-4cea-44a3-99e5-71622279700f	3a0c96d3-4cea-44a3-99e5-71622279700f/1bc678a3-1850-4ab6-874b-d68992fddc7b.rna_seq.augmented_star_gene_counts.tsv	e1050cfa182f26170b0acf2e5c6ce7f1	4247488	validated
